Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],"Manufacturing, value added (current US$) [NV.IND.MANF.CD]","Population, total [SP.POP.TOTL]"
2021,YR2021,"Hong Kong SAR, China",HKG,49764.793115622,3367339062.4196,7413100
2021,YR2021,Hungary,HUN,18753.0469453539,30472674691.9062,9709891
2021,YR2021,Iceland,ISL,68710.2442005473,2483120420.89409,372520
2021,YR2021,India,IND,2238.12714218765,455913808501.626,1407563842
2021,YR2021,Indonesia,IDN,4334.2159826606,228324898226.085,273753191
2021,YR2021,"Iran, Islamic Rep.",IRN,4084.20030479458,76182750030.7072,87923432
2021,YR2021,Iraq,IRQ,4770.83534274738,4630542068.96552,43533592
2021,YR2021,Ireland,IRL,102001.798249145,179614621810.734,5033164
2021,YR2021,Isle of Man,IMN,..,..,84263
2021,YR2021,Israel,ISR,52129.5159612108,49657759364.8548,9371400
2021,YR2021,Italy,ITA,36449.2583375837,334622899185.654,59133173
2021,YR2021,Jamaica,JAM,5183.5810181201,1201531068.59987,2827695
2021,YR2021,Japan,JPN,40058.5373276179,1049995079634.51,125681593
2021,YR2021,Jordan,JOR,4152.75795426388,7825631267.60563,11148278
2021,YR2021,Kazakhstan,KAZ,10373.7897924367,26824523400.034,19000988
2021,YR2021,Kenya,KEN,2069.66112881918,8077811011.56703,53005614
2021,YR2021,Kiribati,KIR,1766.14428934624,11361520.1396298,128874
2021,YR2021,"Korea, Dem. People's Rep.",PRK,..,..,25971909
2021,YR2021,"Korea, Rep.",KOR,35142.264267481,463454532214.953,51744876
2021,YR2021,Kosovo,XKX,5269.78390114389,1213355410.99941,1786038
2021,YR2021,Kuwait,KWT,32324.8409043988,..,4250114
2021,YR2021,Kyrgyz Republic,KGZ,1365.50830399287,1091977816.56705,6773400
2021,YR2021,Lao PDR,LAO,2535.62343413571,1637039352.16005,7425057
2021,YR2021,Latvia,LVA,20930.3982374189,4883725161.49992,1884490
2021,YR2021,Lebanon,LBN,4136.14657516013,330053453.23692,5592631
2021,YR2021,Lesotho,LSO,1029.50618912869,398614815.208776,2281454
2021,YR2021,Liberia,LBR,675.66318584916,..,5193416
2021,YR2021,Libya,LBY,5908.9513231651,..,6735277
2021,YR2021,Liechtenstein,LIE,197504.548936258,2717416282.39331,39039
2021,YR2021,Lithuania,LTU,23849.6156993566,10643915298.8215,2800839
2021,YR2021,Luxembourg,LUX,133711.794435985,4014311683.40691,640064
2021,YR2021,"Macao SAR, China",MAC,45104.8921800265,256197839.194197,686607
2021,YR2021,Madagascar,MDG,503.352081190858,1382224818.4496,28915653
2021,YR2021,Malawi,MWI,633.609733179475,..,19889742
2021,YR2021,Malaysia,MYS,11134.6229528189,87442723725.9234,33573874
